SID,entry,evaluation,replacement
12,spider,FOUND,spider
12,tiger,FOUND,tiger
12,whale,FOUND,whale
12,zebra,FOUND,zebra
12,alpaca,FOUND,alpaca
12,baboon,FOUND,baboon
12,komodo_dragon,REPLACE,komodo dragon
15,cat,FOUND,cat
15,dog,FOUND,dog
15,parrot,FOUND,parrot
15,lizard,FOUND,lizard
15,fish,FOUND,fish
15,turtle,FOUND,turtle
15,snake,FOUND,snake
15,tiger,FOUND,tiger
15,lion,FOUND,lion
15,giraffe,FOUND,giraffe
15,cheetah,FOUND,cheetah
15,mouse,FOUND,mouse
15,deer,FOUND,deer
15,wolf,FOUND,wolf
15,rabbit,FOUND,rabbit
15,cow,FOUND,cow
15,pig,FOUND,pig
15,horse,FOUND,horse
15,whale,FOUND,whale
15,panda,FOUND,panda
15,raccoon,FOUND,raccoon
15,bear,FOUND,bear
15,rat,FOUND,rat
16,zebra,FOUND,zebra
16,lion,FOUND,lion
16,tiger,FOUND,tiger
16,bear,FOUND,bear
16,shrimp,FOUND,shrimp
16,cod,FOUND,cod
16,cat,FOUND,cat
16,dog,FOUND,dog
16,parrot,FOUND,parrot
16,fish,FOUND,fish
16,hamster,FOUND,hamster
16,guinea_pig,REPLACE,guinea pig
16,horse,FOUND,horse
16,monkey,FOUND,monkey
16,gorilla,FOUND,gorilla
16,bird,FOUND,bird
16,eagle,FOUND,eagle
16,shark,FOUND,shark
16,whale,FOUND,whale
16,frog,FOUND,frog
16,salamander,FOUND,salamander
16,spider,FOUND,spider
17,dog,FOUND,dog
17,cat,FOUND,cat
17,fish,FOUND,fish
17,snake,FOUND,snake
17,frog,FOUND,frog
17,bird,FOUND,bird
17,monkey,FOUND,monkey
17,giraffe,FOUND,giraffe
17,elephant,FOUND,elephant
17,zebra,FOUND,zebra
17,horse,FOUND,horse
17,rhino,FOUND,rhino
17,peacock,FOUND,peacock
17,ostrich,FOUND,ostrich
17,flamingo,FOUND,flamingo
17,lion,FOUND,lion
17,cheetah,FOUND,cheetah
17,panther,FOUND,panther
17,bobcat,FOUND,bobcat
18,dog,FOUND,dog
18,cat,FOUND,cat
18,fish,FOUND,fish
18,snake,FOUND,snake
18,frog,FOUND,frog
18,bird,FOUND,bird
18,monkey,FOUND,monkey
18,giraffe,FOUND,giraffe
18,elephant,FOUND,elephant
18,zebra,FOUND,zebra
18,horse,FOUND,horse
18,rhino,FOUND,rhino
18,peacock,FOUND,peacock
18,ostrich,FOUND,ostrich
18,flamingo,FOUND,flamingo
18,lion,FOUND,lion
18,cheetah,FOUND,cheetah
18,panther,FOUND,panther
18,bobcat,FOUND,bobcat
19,horse,FOUND,horse
19,moose,FOUND,moose
19,cow,FOUND,cow
19,cat,FOUND,cat
19,dog,FOUND,dog
19,frog,FOUND,frog
19,flamingo,FOUND,flamingo
19,hippo,FOUND,hippo
19,penguin,FOUND,penguin
19,jaguar,FOUND,jaguar
19,bobcat,FOUND,bobcat
19,octopus,FOUND,octopus
19,squid,FOUND,squid
19,fish,FOUND,fish
19,shark,FOUND,shark
19,dolphin,FOUND,dolphin
19,jellyfish,FOUND,jellyfish
19,giraffe,FOUND,giraffe
19,elephant,FOUND,elephant
19,zebra,FOUND,zebra
19,deer,FOUND,deer
19,squirrel,FOUND,squirrel
19,groundhog,FOUND,groundhog
19,butterfly,FOUND,butterfly
19,caterpillar,FOUND,caterpillar
19,beetle,FOUND,beetle
19,stink_bug,REPLACE,stinkbug
19,rabbit,FOUND,rabbit
19,iguana,FOUND,iguana
19,lizard,FOUND,lizard
19,turtle,FOUND,turtle
20,dog,FOUND,dog
20,bird,FOUND,bird
20,cat,FOUND,cat
20,fish,FOUND,fish
20,elephant,FOUND,elephant
20,giraffe,FOUND,giraffe
20,mastodon,FOUND,mastodon
20,dinosaur,FOUND,dinosaur
20,snake,FOUND,snake
20,lizard,FOUND,lizard
20,tarantula,FOUND,tarantula
20,weasel,FOUND,weasel
20,ferret,FOUND,ferret
20,rat,FOUND,rat
20,squirrel,FOUND,squirrel
20,whale,FOUND,whale
20,shark,FOUND,shark
21,snake,FOUND,snake
21,bird,FOUND,bird
21,lion,FOUND,lion
21,cat,FOUND,cat
21,elephant,FOUND,elephant
21,coyote,FOUND,coyote
21,fish,FOUND,fish
21,whale,FOUND,whale
21,seal,FOUND,seal
21,salmon,FOUND,salmon
21,deer,FOUND,deer
21,cow,FOUND,cow
21,pig,FOUND,pig
21,chicken,FOUND,chicken
21,goat,FOUND,goat
21,sheep,FOUND,sheep
21,human,FOUND,human
21,monkey,FOUND,monkey
21,gorilla,FOUND,gorilla
21,rhino,FOUND,rhino
21,panda,FOUND,panda
21,bear,FOUND,bear
21,spider,FOUND,spider
21,ant,FOUND,ant
22,dog,FOUND,dog
22,cat,FOUND,cat
22,snake,FOUND,snake
22,sloth,FOUND,sloth
22,lion,FOUND,lion
22,frog,FOUND,frog
22,octopus,FOUND,octopus
22,butterfly,FOUND,butterfly
22,gorilla,FOUND,gorilla
22,zebra,FOUND,zebra
22,ostrich,FOUND,ostrich
22,whale,FOUND,whale
22,dolphin,FOUND,dolphin
22,fish,FOUND,fish
22,flamingo,FOUND,flamingo
22,polar_bear,REPLACE,polar bear
22,bear,FOUND,bear
22,hamster,FOUND,hamster
22,chinchilla,FOUND,chinchilla
23,tiger,FOUND,tiger
23,lion,FOUND,lion
23,bear,FOUND,bear
23,ostrich,FOUND,ostrich
23,dog,FOUND,dog
23,cat,FOUND,cat
23,bird,FOUND,bird
23,fish,FOUND,fish
23,alpaca,FOUND,alpaca
23,llama,FOUND,llama
23,cow,FOUND,cow
23,pig,FOUND,pig
23,chicken,FOUND,chicken
23,elephant,FOUND,elephant
23,antelope,FOUND,antelope
23,jaguar,FOUND,jaguar
23,shark,FOUND,shark
23,whale,FOUND,whale
23,dolphin,FOUND,dolphin
23,monkey,FOUND,monkey
23,baboon,FOUND,baboon
23,gorilla,FOUND,gorilla
23,snake,FOUND,snake
23,salamander,FOUND,salamander
24,cat,FOUND,cat
24,dog,FOUND,dog
24,bird,FOUND,bird
24,cheetah,FOUND,cheetah
24,lion,FOUND,lion
24,giraffe,FOUND,giraffe
24,zebra,FOUND,zebra
24,hippo,FOUND,hippo
24,panda,FOUND,panda
24,horse,FOUND,horse
24,pig,FOUND,pig
24,chicken,FOUND,chicken
24,lamb,FOUND,lamb
24,cow,FOUND,cow
24,bird,FOUND,bird
24,butterfly,FOUND,butterfly
24,scorpion,FOUND,scorpion
24,shark,FOUND,shark
24,whale,FOUND,whale
25,cat,FOUND,cat
25,dog,FOUND,dog
25,lizard,FOUND,lizard
25,turtle,FOUND,turtle
25,mouse,FOUND,mouse
25,deer,FOUND,deer
25,zebra,FOUND,zebra
25,lion,FOUND,lion
25,tiger,FOUND,tiger
25,panther,FOUND,panther
25,crocodile,FOUND,crocodile
25,frog,FOUND,frog
25,bird,FOUND,bird
25,crab,FOUND,crab
25,fish,FOUND,fish
25,octopus,FOUND,octopus
25,dolphin,FOUND,dolphin
25,whale,FOUND,whale
25,fox,FOUND,fox
25,monkey,FOUND,monkey
26,koala,FOUND,koala
26,tiger,FOUND,tiger
26,bear,FOUND,bear
26,dog,FOUND,dog
26,cat,FOUND,cat
26,shark,FOUND,shark
26,fish,FOUND,fish
26,hamster,FOUND,hamster
26,red_panda,REPLACE,red panda
26,giant_panda,REPLACE,giant panda
26,giraffe,FOUND,giraffe
26,elephant,FOUND,elephant
26,lion,FOUND,lion
26,leopard,FOUND,leopard
26,rabbit,FOUND,rabbit
26,horse,FOUND,horse
26,bat,FOUND,bat
26,anteater,FOUND,anteater
26,deer,FOUND,deer
26,sheep,FOUND,sheep
26,cow,FOUND,cow
26,pig,FOUND,pig
26,praying_mantis,REPLACE,praying mantis
26,butterfly,FOUND,butterfly
26,moth,FOUND,moth
28,Escherichia_coli,EXCLUDE,EXCLUDE
28,fly,FOUND,fly
28,deer,FOUND,deer
28,polar_bear,REPLACE,polar bear
28,brown_bear,REPLACE,brown bear
28,black_bear,REPLACE,black bear
28,jellyfish,FOUND,jellyfish
28,giant_squid,REPLACE,giant squid
28,blue_whale,REPLACE,blue whale
28,mako_shark,REPLACE,mako shark
28,great_white_shark,REPLACE,great white shark
28,barracuda,FOUND,barracuda
28,elk,FOUND,elk
28,moose,FOUND,moose
28,panther,FOUND,panther
28,lion,FOUND,lion
28,cheetah,FOUND,cheetah
28,gorilla,FOUND,gorilla
28,rhino,FOUND,rhino
28,sea_lion,REPLACE,sealion
28,seal,FOUND,seal
28,viper,FOUND,viper
28,sea_snake,REPLACE,sea snake
28,penguin,FOUND,penguin
28,praying_mantis,REPLACE,praying mantis
28,tarantula,FOUND,tarantula
28,black_widow,REPLACE,black widow
29,snake,FOUND,snake
29,lion,FOUND,lion
29,elephant,FOUND,elephant
29,zebra,FOUND,zebra
29,giraffe,FOUND,giraffe
29,bear,FOUND,bear
29,squirrel,FOUND,squirrel
29,frog,FOUND,frog
29,dog,FOUND,dog
29,cat,FOUND,cat
29,bird,FOUND,bird
29,reptile,FOUND,reptile
29,lizard,FOUND,lizard
29,seal,FOUND,seal
29,sea_lion,REPLACE,sealion
29,fish,FOUND,fish
29,tiger,FOUND,tiger
29,moose,FOUND,moose
29,kangaroo,FOUND,kangaroo
29,emu,FOUND,emu
29,platypus,FOUND,platypus
30,cat,FOUND,cat
30,dog,FOUND,dog
30,horse,FOUND,horse
30,tiger,FOUND,tiger
30,chipmunk,FOUND,chipmunk
30,squirrel,FOUND,squirrel
30,fish,FOUND,fish
30,guinea_pig,REPLACE,guinea pig
30,hamster,FOUND,hamster
30,zebra,FOUND,zebra
30,giraffe,FOUND,giraffe
30,elephant,FOUND,elephant
30,lion,FOUND,lion
30,cheetah,FOUND,cheetah
30,leopard,FOUND,leopard
30,snow_leopard,REPLACE,snow leopard
30,panther,FOUND,panther
30,wolf,FOUND,wolf
30,bear,FOUND,bear
30,polar_bear,REPLACE,polar bear
30,bird,FOUND,bird
30,pigeon,FOUND,pigeon
30,alligator,FOUND,alligator
30,crocodile,FOUND,crocodile
30,crane,FOUND,crane
30,lizard,FOUND,lizard
30,snake,FOUND,snake
31,ant,FOUND,ant
31,anteater,FOUND,anteater
31,fox,FOUND,fox
31,red_panda,REPLACE,red panda
31,aye_aye,REPLACE,aye aye
31,sloth,FOUND,sloth
31,quail,FOUND,quail
31,cardinal,FOUND,cardinal
31,turtle,FOUND,turtle
31,tortoise,FOUND,tortoise
31,elephant,FOUND,elephant
31,hedgehog,FOUND,hedgehog
31,penis_worm,REPLACE,penis worm
31,human,FOUND,human
31,tiger,FOUND,tiger
31,lion,FOUND,lion
31,bee,FOUND,bee
31,shark,FOUND,shark
31,sponge,FOUND,sponge
31,cow,FOUND,cow
32,dog,FOUND,dog
32,cat,FOUND,cat
32,fish,FOUND,fish
32,manatee,FOUND,manatee
32,gorilla,FOUND,gorilla
32,orangutan,FOUND,orangutan
32,flamingo,FOUND,flamingo
32,deer,FOUND,deer
32,fox,FOUND,fox
32,bear,FOUND,bear
32,lion,FOUND,lion
32,zebra,FOUND,zebra
32,giraffe,FOUND,giraffe
32,elephant,FOUND,elephant
33,horse,FOUND,horse
33,pig,FOUND,pig
33,fish,FOUND,fish
33,duck,FOUND,duck
33,goose,FOUND,goose
33,bird,FOUND,bird
33,giraffe,FOUND,giraffe
33,elephant,FOUND,elephant
33,whale,FOUND,whale
33,shark,FOUND,shark
33,lion,FOUND,lion
33,tiger,FOUND,tiger
33,bear,FOUND,bear
33,mosquito,FOUND,mosquito
33,cicada,FOUND,cicada
33,ladybug,FOUND,ladybug
33,grasshopper,FOUND,grasshopper
33,spider,FOUND,spider
33,ant,FOUND,ant
33,cat,FOUND,cat
33,snake,FOUND,snake
33,iguana,FOUND,iguana
33,ostrich,FOUND,ostrich
35,dog,FOUND,dog
35,cat,FOUND,cat
35,lion,FOUND,lion
35,tiger,FOUND,tiger
35,bear,FOUND,bear
35,cow,FOUND,cow
35,chicken,FOUND,chicken
35,pig,FOUND,pig
35,sheep,FOUND,sheep
35,alligator,FOUND,alligator
35,bird,FOUND,bird
35,parrot,FOUND,parrot
35,guinea_pig,REPLACE,guinea pig
35,hamster,FOUND,hamster
35,horse,FOUND,horse
35,donkey,FOUND,donkey
35,mule,FOUND,mule
35,giraffe,FOUND,giraffe
35,hyena,FOUND,hyena
35,zebra,FOUND,zebra
35,polar_bear,REPLACE,polar bear
35,black_bear,REPLACE,black bear
35,koala,FOUND,koala
37,seal,FOUND,seal
37,buffalo,FOUND,buffalo
37,bug,FOUND,bug
37,beetle,FOUND,beetle
37,dog,FOUND,dog
37,cat,FOUND,cat
37,mouse,FOUND,mouse
37,horse,FOUND,horse
37,zebra,FOUND,zebra
37,lion,FOUND,lion
37,kangaroo,FOUND,kangaroo
37,zebra,FOUND,zebra
37,flagellum,EXCLUDE,EXCLUDE
37,crucifite,EXCLUDE,EXCLUDE
37,diatom,EXCLUDE,EXCLUDE
37,heteroate,EXCLUDE,EXCLUDE
37,crab,FOUND,crab
37,squirrel,FOUND,squirrel
37,owl,FOUND,owl
37,sheep,FOUND,sheep
37,bobcat,FOUND,bobcat
37,spider,FOUND,spider
37,butterfly,FOUND,butterfly
37,fish,FOUND,fish
37,shark,FOUND,shark
37,dolphin,FOUND,dolphin
37,crab,FOUND,crab
38,anteater,FOUND,anteater
38,aardvark,FOUND,aardvark
38,elk,FOUND,elk
38,deer,FOUND,deer
38,bear,FOUND,bear
38,moose,FOUND,moose
38,cat,FOUND,cat
38,dog,FOUND,dog
38,horse,FOUND,horse
38,goat,FOUND,goat
38,sheep,FOUND,sheep
38,wolf,FOUND,wolf
38,polar_bear,REPLACE,polar bear
38,panda,FOUND,panda
38,red_panda,REPLACE,red panda
38,squirrel,FOUND,squirrel
38,chipmunk,FOUND,chipmunk
38,owl,FOUND,owl
38,bird,FOUND,bird
38,pigeon,FOUND,pigeon
38,bug,FOUND,bug
38,butterfly,FOUND,butterfly
38,cockroach,FOUND,cockroach
38,beetle,FOUND,beetle
38,grasshopper,FOUND,grasshopper
39,ostrich,FOUND,ostrich
39,dog,FOUND,dog
39,cat,FOUND,cat
39,dolphin,FOUND,dolphin
39,shark,FOUND,shark
39,whale,FOUND,whale
39,bat,FOUND,bat
39,moose,FOUND,moose
39,bear,FOUND,bear
39,groundhog,FOUND,groundhog
39,hedgehog,FOUND,hedgehog
39,raccoon,FOUND,raccoon
39,possum,FOUND,possum
39,anteater,FOUND,anteater
39,antelope,FOUND,antelope
39,squid,FOUND,squid
39,octopus,FOUND,octopus
40,bear,FOUND,bear
40,bat,FOUND,bat
40,zebra,FOUND,zebra
40,antelope,FOUND,antelope
40,anteater,FOUND,anteater
40,dolphin,FOUND,dolphin
40,whale,FOUND,whale
40,fish,FOUND,fish
40,deer,FOUND,deer
40,lion,FOUND,lion
40,tiger,FOUND,tiger
40,cheetah,FOUND,cheetah
40,leopard,FOUND,leopard
40,panther,FOUND,panther
40,monkey,FOUND,monkey
40,gorilla,FOUND,gorilla
40,orangutan,FOUND,orangutan
40,dog,FOUND,dog
40,cat,FOUND,cat
40,otter,FOUND,otter
40,weasel,FOUND,weasel
40,ferret,FOUND,ferret
40,hamster,FOUND,hamster
40,chinchilla,FOUND,chinchilla
40,hedgehog,FOUND,hedgehog
40,moose,FOUND,moose
40,salamander,FOUND,salamander
40,snake,FOUND,snake
40,lizard,FOUND,lizard
40,crab,FOUND,crab
40,lobster,FOUND,lobster
41,lamb,FOUND,lamb
41,cat,FOUND,cat
41,cow,FOUND,cow
41,dog,FOUND,dog
41,bird,FOUND,bird
41,deer,FOUND,deer
41,squirrel,FOUND,squirrel
41,snake,FOUND,snake
41,kangaroo,FOUND,kangaroo
41,moose,FOUND,moose
41,shark,FOUND,shark
41,bird,FOUND,bird
41,giraffe,FOUND,giraffe
41,elephant,FOUND,elephant
41,zebra,FOUND,zebra
41,gorilla,FOUND,gorilla
41,elk,FOUND,elk
41,black_bear,REPLACE,black bear
41,tiger,FOUND,tiger
41,sloth,FOUND,sloth
42,dog,FOUND,dog
42,cat,FOUND,cat
42,lizard,FOUND,lizard
42,tiger,FOUND,tiger
42,giraffe,FOUND,giraffe
42,elephant,FOUND,elephant
42,ostrich,FOUND,ostrich
42,peacock,FOUND,peacock
42,goat,FOUND,goat
42,whale,FOUND,whale
42,goldfish,FOUND,goldfish
42,crocodile,FOUND,crocodile
42,alligator,FOUND,alligator
42,koala,FOUND,koala
42,panda,FOUND,panda
42,black_bear,REPLACE,black bear
42,brown_bear,REPLACE,brown bear
42,gopher,FOUND,gopher
42,cat,FOUND,cat
42,raccoon,FOUND,raccoon
42,squirrel,FOUND,squirrel
42,hamster,FOUND,hamster
42,tarantula,FOUND,tarantula
42,grasshopper,FOUND,grasshopper
42,centipede,FOUND,centipede
42,caterpillar,FOUND,caterpillar
42,butterfly,FOUND,butterfly
42,tick,FOUND,tick
42,rat,FOUND,rat
42,mouse,FOUND,mouse
42,bird,FOUND,bird
42,elephant,FOUND,elephant
42,zebra,FOUND,zebra
42,eagle,FOUND,eagle
43,bat,FOUND,bat
43,dog,FOUND,dog
43,cat,FOUND,cat
43,alpaca,FOUND,alpaca
43,zebra,FOUND,zebra
43,giraffe,FOUND,giraffe
43,elephant,FOUND,elephant
43,crocodile,FOUND,crocodile
43,whale,FOUND,whale
43,salmon,FOUND,salmon
43,leopard,FOUND,leopard
43,tiger,FOUND,tiger
43,bird,FOUND,bird
43,lizard,FOUND,lizard
43,armadillo,FOUND,armadillo
43,koala,FOUND,koala
43,kangaroo,FOUND,kangaroo
43,shark,FOUND,shark
43,jellyfish,FOUND,jellyfish
43,plankton,FOUND,plankton
43,eagle,FOUND,eagle
43,hawk,FOUND,hawk
43,owl,FOUND,owl
43,parrot,FOUND,parrot
43,frog,FOUND,frog
43,toad,FOUND,toad
43,worm,FOUND,worm
44,salmon,FOUND,salmon
44,rabbit,FOUND,rabbit
44,dog,FOUND,dog
44,cat,FOUND,cat
44,polar_bear,REPLACE,polar bear
44,red_panda,REPLACE,red panda
44,raccoon,FOUND,raccoon
44,bee,FOUND,bee
44,butterfly,FOUND,butterfly
44,snail,FOUND,snail
44,cicada,FOUND,cicada
44,beaver,FOUND,beaver
44,bird,FOUND,bird
44,raven,FOUND,raven
44,magpie,FOUND,magpie
44,vulture,FOUND,vulture
44,chickadee,FOUND,chickadee
44,swallow,FOUND,swallow
44,sparrow,FOUND,sparrow
44,bluebird,FOUND,bluebird
44,blue_jay,REPLACE,blue jay
44,mockingbird,FOUND,mockingbird
44,dog,FOUND,dog
44,ferret,FOUND,ferret
44,hamster,FOUND,hamster
44,squirrel,FOUND,squirrel
45,cat,FOUND,cat
45,dog,FOUND,dog
45,dolphin,FOUND,dolphin
45,elephant,FOUND,elephant
45,tiger,FOUND,tiger
45,lion,FOUND,lion
45,monkey,FOUND,monkey
45,gorilla,FOUND,gorilla
45,bee,FOUND,bee
45,bird,FOUND,bird
45,squirrel,FOUND,squirrel
45,mole,FOUND,mole
45,snake,FOUND,snake
45,spider,FOUND,spider
45,lizard,FOUND,lizard
45,hamster,FOUND,hamster
45,gerbil,FOUND,gerbil
45,guinea_pig,REPLACE,guinea pig
50,zebra,FOUND,zebra
50,flounder,FOUND,flounder
50,penguin,FOUND,penguin
50,giraffe,FOUND,giraffe
50,rhino,FOUND,rhino
50,dog,FOUND,dog
50,cat,FOUND,cat
50,lion,FOUND,lion
50,tiger,FOUND,tiger
50,panther,FOUND,panther
50,owl,FOUND,owl
50,betta_fish,REPLACE,betta fish
50,otter,FOUND,otter
50,whale,FOUND,whale
50,manatee,FOUND,manatee
50,sea_lion,REPLACE,sealion
50,stingray,FOUND,stingray
50,deer,FOUND,deer
50,cow,FOUND,cow
50,pig,FOUND,pig
52,cat,FOUND,cat
52,dog,FOUND,dog
52,horse,FOUND,horse
52,tiger,FOUND,tiger
52,dolphin,FOUND,dolphin
52,turtle,FOUND,turtle
52,whale,FOUND,whale
52,zebra,FOUND,zebra
52,chicken,FOUND,chicken
52,cow,FOUND,cow
52,fish,FOUND,fish
52,giraffe,FOUND,giraffe
52,rhino,FOUND,rhino
52,elephant,FOUND,elephant
52,lion,FOUND,lion
52,meerkat,FOUND,meerkat
52,groundhog,FOUND,groundhog
52,squirrel,FOUND,squirrel
52,bird,FOUND,bird
52,chipmunk,FOUND,chipmunk
52,goat,FOUND,goat
52,sheep,FOUND,sheep
52,eel,FOUND,eel
52,hamster,FOUND,hamster
52,rat,FOUND,rat
52,mouse,FOUND,mouse
53,cat,FOUND,cat
53,dog,FOUND,dog
53,horse,FOUND,horse
53,elephant,FOUND,elephant
53,donkey,FOUND,donkey
53,goat,FOUND,goat
53,chicken,FOUND,chicken
53,turkey,FOUND,turkey
53,caterpillar,FOUND,caterpillar
53,bumblebee,FOUND,bumblebee
53,hornet,FOUND,hornet
53,wasp,FOUND,wasp
53,cow,FOUND,cow
53,alpaca,FOUND,alpaca
53,pallass_cat,REPLACE,pallass cat
53,lion,FOUND,lion
53,puma,FOUND,puma
53,jaguar,FOUND,jaguar
53,mountain_lion,REPLACE,mountain lion
53,bobcat,FOUND,bobcat
53,flamingo,FOUND,flamingo
54,snake,FOUND,snake
54,seahorse,FOUND,seahorse
54,fish,FOUND,fish
54,whale,FOUND,whale
54,shark,FOUND,shark
54,dog,FOUND,dog
54,cat,FOUND,cat
54,lizard,FOUND,lizard
54,gecko,FOUND,gecko
54,zebra,FOUND,zebra
54,lion,FOUND,lion
54,tiger,FOUND,tiger
54,bear,FOUND,bear
54,monkey,FOUND,monkey
54,lemur,FOUND,lemur
54,koala,FOUND,koala
54,alligator,FOUND,alligator
54,crocodile,FOUND,crocodile
54,hyena,FOUND,hyena
54,bunny,FOUND,bunny
54,fox,FOUND,fox
54,coyote,FOUND,coyote
54,wolf,FOUND,wolf
54,deer,FOUND,deer
54,buck,FOUND,buck
54,mouse,FOUND,mouse
54,squirrel,FOUND,squirrel
54,meerkat,FOUND,meerkat
54,muskrat,FOUND,muskrat
54,gerbil,FOUND,gerbil
54,hamster,FOUND,hamster
55,crab,FOUND,crab
55,lobster,FOUND,lobster
55,shrimp,FOUND,shrimp
55,krill,FOUND,krill
55,fish,FOUND,fish
55,shark,FOUND,shark
55,whale,FOUND,whale
55,snail,FOUND,snail
55,albatross,FOUND,albatross
55,cardinal,FOUND,cardinal
55,cat,FOUND,cat
55,cow,FOUND,cow
55,pig,FOUND,pig
55,seagull,FOUND,seagull
55,elephant,FOUND,elephant
55,rhino,FOUND,rhino
55,hippo,FOUND,hippo
55,tiger,FOUND,tiger
55,lion,FOUND,lion
55,bear,FOUND,bear
55,human,FOUND,human
55,zebra,FOUND,zebra
55,antelope,FOUND,antelope
55,aardvark,FOUND,aardvark
55,boar,FOUND,boar
55,finch,FOUND,finch
55,gorilla,FOUND,gorilla
55,monkey,FOUND,monkey
55,iguana,FOUND,iguana
55,lizard,FOUND,lizard
55,salamander,FOUND,salamander
55,worm,FOUND,worm
55,fly,FOUND,fly
55,ant,FOUND,ant
55,bee,FOUND,bee
55,wasp,FOUND,wasp
55,hornet,FOUND,hornet
56,shrimp,FOUND,shrimp
