SID,entry,evaluation,replacement,entryInSNAFU,replacementInSNAFU,entryInTroyerEx,replacementInTroyerEx,final_word,comments
829,vole,FOUND,vole,1,1,1,1,,
829,snake,FOUND,snake,1,1,1,1,,
829,giraffe,FOUND,giraffe,1,1,1,1,,
829,lion,FOUND,lion,1,1,1,1,,
829,zebra,FOUND,zebra,1,1,1,1,,
829,tiger,FOUND,tiger,1,1,1,1,,
829,lemur,FOUND,lemur,1,1,1,1,,
829,sloth,FOUND,sloth,1,1,1,1,,
829,jaguar,FOUND,jaguar,1,1,1,1,,
829,blue jay,FOUND,blue jay,1,1,1,1,,
829,cardinal,FOUND,cardinal,1,1,1,1,,
829,hawk,FOUND,hawk,1,1,1,1,,
829,dog,FOUND,dog,1,1,1,1,,
829,cat,FOUND,cat,1,1,1,1,,
829,lizard,FOUND,lizard,1,1,1,1,,
829,monkey,FOUND,monkey,1,1,1,1,,
829,okapi,FOUND,okapi,1,1,1,1,,
829,boar,FOUND,boar,1,1,1,1,,
833,dog,FOUND,dog,1,1,1,1,,
833,cat,FOUND,cat,1,1,1,1,,
833,guinea pig,FOUND,guinea pig,1,1,1,1,,
833,shark,FOUND,shark,1,1,1,1,,
833,eagle,FOUND,eagle,1,1,1,1,,
833,bluebird,FOUND,bluebird,1,1,1,1,,
833,penguin,FOUND,penguin,1,1,1,1,,
833,giraffe,FOUND,giraffe,1,1,1,1,,
833,elephant,FOUND,elephant,1,1,1,1,,
833,sphynx,EXCLUDE,EXCLUDE,0,0,1,0,,
833,wolf,FOUND,wolf,1,1,1,1,,
833,tiger,FOUND,tiger,1,1,1,1,,
833,lion,FOUND,lion,1,1,1,1,,
833,deer,FOUND,deer,1,1,1,1,,
833,gazelle,FOUND,gazelle,1,1,1,1,,
833,ferret,FOUND,ferret,1,1,1,1,,
833,cow,FOUND,cow,1,1,1,1,,
833,pig,FOUND,pig,1,1,1,1,,
833,horse,FOUND,horse,1,1,1,1,,
833,monkey,FOUND,monkey,1,1,1,1,,
835,dog,FOUND,dog,1,1,1,1,,
835,cat,FOUND,cat,1,1,1,1,,
835,canary,FOUND,canary,1,1,1,1,,
835,parrot,FOUND,parrot,1,1,1,1,,
835,hamster,FOUND,hamster,1,1,1,1,,
835,snake,FOUND,snake,1,1,1,1,,
835,peacock,FOUND,peacock,1,1,1,1,,
835,cow,FOUND,cow,1,1,1,1,,
835,pig,FOUND,pig,1,1,1,1,,
835,dog,FOUND,dog,1,1,1,1,,
835,lizard,FOUND,lizard,1,1,1,1,,
835,snake,FOUND,snake,1,1,1,1,,
835,iguana,FOUND,iguana,1,1,1,1,,
835,horse,FOUND,horse,1,1,1,1,,
836,dog,FOUND,dog,1,1,1,1,,
836,cat,FOUND,cat,1,1,1,1,,
836,goat,FOUND,goat,1,1,1,1,,
836,zebra,FOUND,zebra,1,1,1,1,,
836,gazelle,FOUND,gazelle,1,1,1,1,,
836,giraffe,FOUND,giraffe,1,1,1,1,,
836,elephant,FOUND,elephant,1,1,1,1,,
836,tiger,FOUND,tiger,1,1,1,1,,
836,zebra,FOUND,zebra,1,1,1,1,,
836,cheetah,FOUND,cheetah,1,1,1,1,,
836,rat,FOUND,rat,1,1,1,1,,
836,mouse,FOUND,mouse,1,1,1,1,,
836,cheetah,FOUND,cheetah,1,1,1,1,,
836,leopard,FOUND,leopard,1,1,1,1,,
836,jaguar,FOUND,jaguar,1,1,1,1,,
836,moose,FOUND,moose,1,1,1,1,,
836,deer,FOUND,deer,1,1,1,1,,
836,ape,FOUND,ape,1,1,1,1,,
836,monkey,FOUND,monkey,1,1,1,1,,
836,turkey,FOUND,turkey,1,1,1,1,,
836,peacock,FOUND,peacock,1,1,1,1,,
844,anaconda,FOUND,anaconda,1,1,1,1,,
844,zebra,FOUND,zebra,1,1,1,1,,
844,bull,FOUND,bull,1,1,1,1,,
844,sheep,FOUND,sheep,1,1,1,1,,
844,dog,FOUND,dog,1,1,1,1,,
844,cat,FOUND,cat,1,1,1,1,,
844,lizard,FOUND,lizard,1,1,1,1,,
844,giraffe,FOUND,giraffe,1,1,1,1,,
844,rhino,FOUND,rhino,1,1,1,1,,
844,elephant,FOUND,elephant,1,1,1,1,,
844,horse,FOUND,horse,1,1,1,1,,
844,pig,FOUND,pig,1,1,1,1,,
844,monkey,FOUND,monkey,1,1,1,1,,
844,turtle,FOUND,turtle,1,1,1,1,,
844,shark,FOUND,shark,1,1,1,1,,
844,fish,FOUND,fish,1,1,1,1,,
844,whale,FOUND,whale,1,1,1,1,,
844,pony,FOUND,pony,1,1,1,1,,
844,anteater,FOUND,anteater,1,1,1,1,,
844,tiger,FOUND,tiger,1,1,1,1,,
844,jaguar,FOUND,jaguar,1,1,1,1,,
844,wolverine,FOUND,wolverine,1,1,1,1,,
856,cat,FOUND,cat,1,1,1,1,,
856,dog,FOUND,dog,1,1,1,1,,
856,lion,FOUND,lion,1,1,1,1,,
856,cheetah,FOUND,cheetah,1,1,1,1,,
856,elephant,FOUND,elephant,1,1,1,1,,
856,giraffe,FOUND,giraffe,1,1,1,1,,
856,raccoon,FOUND,raccoon,1,1,1,1,,
856,wolf,FOUND,wolf,1,1,1,1,,
856,newt,FOUND,newt,1,1,1,1,,
856,bear,FOUND,bear,1,1,1,1,,
856,deer,FOUND,deer,1,1,1,1,,
856,bear,FOUND,bear,1,1,1,1,,
856,mole rat,FOUND,mole rat,0,0,0,0,,
856,mouse,FOUND,mouse,1,1,1,1,,
856,eagle,FOUND,eagle,1,1,1,1,,
856,vulture,FOUND,vulture,1,1,1,1,,
856,bluebird,FOUND,bluebird,1,1,1,1,,
856,fish,FOUND,fish,1,1,1,1,,
856,shark,FOUND,shark,1,1,1,1,,
856,bug,FOUND,bug,1,1,1,1,,
856,boa constrictor,FOUND,boa constrictor,1,1,1,1,,
856,lizard,FOUND,lizard,1,1,1,1,,
856,iguana,FOUND,iguana,1,1,1,1,,
856,komodo dragon,FOUND,komodo dragon,1,1,1,1,,
856,zebra,FOUND,zebra,1,1,1,1,,
857,dolphin,FOUND,dolphin,1,1,1,1,,
857,parrot,FOUND,parrot,1,1,1,1,,
857,seagull,FOUND,seagull,1,1,1,1,,
857,human,FOUND,human,1,1,1,1,,
857,dog,FOUND,dog,1,1,1,1,,
857,cat,FOUND,cat,1,1,1,1,,
857,lion,FOUND,lion,1,1,1,1,,
857,sabertooth tiger,REPLACE,sabertoothed tiger,0,1,0,0,,
857,owl,FOUND,owl,1,1,1,1,,
857,bird,FOUND,bird,1,1,1,1,,
857,clownfish,FOUND,clownfish,1,1,1,1,,
857,elephant,FOUND,elephant,1,1,1,1,,
857,snake,FOUND,snake,1,1,1,1,,
859,dog,FOUND,dog,1,1,1,1,,
859,cat,FOUND,cat,1,1,1,1,,
859,lion,FOUND,lion,1,1,1,1,,
859,tiger,FOUND,tiger,1,1,1,1,,
859,iguana,FOUND,iguana,1,1,1,1,,
859,canary,FOUND,canary,1,1,1,1,,
859,owl,FOUND,owl,1,1,1,1,,
859,duck,FOUND,duck,1,1,1,1,,
859,cow,FOUND,cow,1,1,1,1,,
859,horse,FOUND,horse,1,1,1,1,,
859,ox,FOUND,ox,1,1,1,1,,
859,buffalo,FOUND,buffalo,1,1,1,1,,
859,lizard,FOUND,lizard,1,1,1,1,,
859,alligator,FOUND,alligator,1,1,1,1,,
859,crocodile,FOUND,crocodile,1,1,1,1,,
859,whale,FOUND,whale,1,1,1,1,,
859,shark,FOUND,shark,1,1,1,1,,
859,dolphin,FOUND,dolphin,1,1,1,1,,
859,fish,FOUND,fish,1,1,1,1,,
859,pufferfish,FOUND,pufferfish,1,1,1,1,,
859,zebra,FOUND,zebra,1,1,1,1,,
859,giraffe,FOUND,giraffe,1,1,1,1,,
859,gorilla,FOUND,gorilla,1,1,1,1,,
859,monkey,FOUND,monkey,1,1,1,1,,
859,sea otter,FOUND,sea otter,1,1,1,1,,
859,turtle,FOUND,turtle,1,1,1,1,,
859,frog,FOUND,frog,1,1,1,1,,
859,snake,FOUND,snake,1,1,1,1,,
859,insect,FOUND,insect,1,1,1,1,,
859,fly,FOUND,fly,1,1,1,1,,
860,shark,FOUND,shark,1,1,1,1,,
860,kangaroo,FOUND,kangaroo,1,1,1,1,,
860,spider,FOUND,spider,1,1,1,1,,
860,dog,FOUND,dog,1,1,1,1,,
860,cat,FOUND,cat,1,1,1,1,,
860,ram,FOUND,ram,1,1,1,1,,
860,goat,FOUND,goat,1,1,1,1,,
860,cow,FOUND,cow,1,1,1,1,,
860,sheep,FOUND,sheep,1,1,1,1,,
860,pig,FOUND,pig,1,1,1,1,,
860,clownfish,FOUND,clownfish,1,1,1,1,,
860,lizard,FOUND,lizard,1,1,1,1,,
860,komodo dragon,FOUND,komodo dragon,1,1,1,1,,
860,tortoise,FOUND,tortoise,1,1,1,1,,
860,lion,FOUND,lion,1,1,1,1,,
861,dog,FOUND,dog,1,1,1,1,,
861,cat,FOUND,cat,1,1,1,1,,
861,bear,FOUND,bear,1,1,1,1,,
861,alligator,FOUND,alligator,1,1,1,1,,
861,owl,FOUND,owl,1,1,1,1,,
861,squirrel,FOUND,squirrel,1,1,1,1,,
861,cougar,FOUND,cougar,1,1,1,1,,
861,jaguar,FOUND,jaguar,1,1,1,1,,
861,hen,FOUND,hen,1,1,1,1,,
861,ape,FOUND,ape,1,1,1,1,,
861,monkey,FOUND,monkey,1,1,1,1,,
861,orangutan,FOUND,orangutan,1,1,1,1,,
861,seahorse,FOUND,seahorse,1,1,1,1,,
861,fish,FOUND,fish,1,1,1,1,,
861,shark,FOUND,shark,1,1,1,1,,
861,whale,FOUND,whale,1,1,1,1,,
861,wolf,FOUND,wolf,1,1,1,1,,
861,parrot,FOUND,parrot,1,1,1,1,,
861,eagle,FOUND,eagle,1,1,1,1,,
861,polar bear,FOUND,polar bear,1,1,1,1,,
861,bear,FOUND,bear,1,1,1,1,,
861,anteater,FOUND,anteater,1,1,1,1,,
863,lion,FOUND,lion,1,1,1,1,,
863,dog,FOUND,dog,1,1,1,1,,
863,cat,FOUND,cat,1,1,1,1,,
863,deer,FOUND,deer,1,1,1,1,,
863,mouse,FOUND,mouse,1,1,1,1,,
863,squirrel,FOUND,squirrel,1,1,1,1,,
863,puma,FOUND,puma,1,1,1,1,,
863,leopard,FOUND,leopard,1,1,1,1,,
863,gorilla,FOUND,gorilla,1,1,1,1,,
863,monkey,FOUND,monkey,1,1,1,1,,
863,chimpanzee,FOUND,chimpanzee,1,1,1,1,,
863,dinosaur,FOUND,dinosaur,1,1,1,1,,
863,cheetah,FOUND,cheetah,1,1,1,1,,
863,cat,FOUND,cat,1,1,1,1,,
863,dog,FOUND,dog,1,1,1,1,,
863,fish,FOUND,fish,1,1,1,1,,
863,shark,FOUND,shark,1,1,1,1,,
863,whale,FOUND,whale,1,1,1,1,,
863,bird,FOUND,bird,1,1,1,1,,
863,crow,FOUND,crow,1,1,1,1,,
863,giraffe,FOUND,giraffe,1,1,1,1,,
865,dog,FOUND,dog,1,1,1,1,,
865,cow,FOUND,cow,1,1,1,1,,
865,sheep,FOUND,sheep,1,1,1,1,,
865,mouse,FOUND,mouse,1,1,1,1,,
865,panda,FOUND,panda,1,1,1,1,,
865,snake,FOUND,snake,1,1,1,1,,
865,elephant,FOUND,elephant,1,1,1,1,,
865,alligator,FOUND,alligator,1,1,1,1,,
865,lion,FOUND,lion,1,1,1,1,,
865,shark,FOUND,shark,1,1,1,1,,
865,hippo,FOUND,hippo,0,0,1,1,,
865,skunk,FOUND,skunk,1,1,1,1,,
865,whale,FOUND,whale,1,1,1,1,,
865,fox,FOUND,fox,1,1,1,1,,
865,tiger,FOUND,tiger,1,1,1,1,,
865,cheetah,FOUND,cheetah,1,1,1,1,,
865,turtle,FOUND,turtle,1,1,1,1,,
865,camel,FOUND,camel,1,1,1,1,,
865,goat,FOUND,goat,1,1,1,1,,
866,dog,FOUND,dog,1,1,1,1,,
866,cat,FOUND,cat,1,1,1,1,,
866,mouse,FOUND,mouse,1,1,1,1,,
866,rat,FOUND,rat,1,1,1,1,,
866,hamster,FOUND,hamster,1,1,1,1,,
866,gerbil,FOUND,gerbil,1,1,1,1,,
866,marten,FOUND,marten,1,1,1,1,,
866,rabbit,FOUND,rabbit,1,1,1,1,,
866,mountain lion,FOUND,mountain lion,1,1,1,1,,
866,giraffe,FOUND,giraffe,1,1,1,1,,
866,elephant,FOUND,elephant,1,1,1,1,,
866,panda,FOUND,panda,1,1,1,1,,
866,koala,FOUND,koala,1,1,1,1,,
866,grizzly bear,FOUND,grizzly bear,1,1,1,1,,
866,black bear,FOUND,black bear,1,1,1,1,,
866,snake,FOUND,snake,1,1,1,1,,
866,rattlesnake,FOUND,rattlesnake,1,1,1,1,,
866,cobra snake,REPLACE,coral snake,0,1,0,1,,
866,coral snake,FOUND,coral snake,1,1,1,1,,
866,king cobra,FOUND,king cobra,1,1,1,1,,
867,dog,FOUND,dog,1,1,1,1,,
867,cat,FOUND,cat,1,1,1,1,,
867,mouse,FOUND,mouse,1,1,1,1,,
867,rat,FOUND,rat,1,1,1,1,,
867,octopus,FOUND,octopus,1,1,1,1,,
867,stingray,FOUND,stingray,1,1,1,1,,
867,bird,FOUND,bird,1,1,1,1,,
867,kangaroo,FOUND,kangaroo,1,1,1,1,,
867,koala,FOUND,koala,1,1,1,1,,
867,panda,FOUND,panda,1,1,1,1,,
867,giraffe,FOUND,giraffe,1,1,1,1,,
867,elephant,FOUND,elephant,1,1,1,1,,
867,hippo,FOUND,hippo,0,0,1,1,,
867,zebra,FOUND,zebra,1,1,1,1,,
867,jaguar,FOUND,jaguar,1,1,1,1,,
867,leopard,FOUND,leopard,1,1,1,1,,
867,cheetah,FOUND,cheetah,1,1,1,1,,
867,ram,FOUND,ram,1,1,1,1,,
867,sheep,FOUND,sheep,1,1,1,1,,
867,chicken,FOUND,chicken,1,1,1,1,,
867,rooster,FOUND,rooster,1,1,1,1,,
867,centipede,FOUND,centipede,1,1,1,1,,
867,beetle,FOUND,beetle,1,1,1,1,,
867,lizard,FOUND,lizard,1,1,1,1,,
867,snake,FOUND,snake,1,1,1,1,,
867,fish,FOUND,fish,1,1,1,1,,
867,sea cucumber,FOUND,sea cucumber,1,1,1,1,,
867,naked mole rat,FOUND,naked mole rat,1,1,1,1,,
870,shrimp,FOUND,shrimp,1,1,1,1,,
870,koala,FOUND,koala,1,1,1,1,,
870,tasmanian devil,FOUND,tasmanian devil,1,1,1,1,,
870,dog,FOUND,dog,1,1,1,1,,
870,cat,FOUND,cat,1,1,1,1,,
870,sheep,FOUND,sheep,1,1,1,1,,
870,tiger,FOUND,tiger,1,1,1,1,,
870,chicken,FOUND,chicken,1,1,1,1,,
870,turkey,FOUND,turkey,1,1,1,1,,
870,flamingo,FOUND,flamingo,1,1,1,1,,
870,bear,FOUND,bear,1,1,1,1,,
870,black bear,FOUND,black bear,1,1,1,1,,
870,rooster,FOUND,rooster,1,1,1,1,,
870,human,FOUND,human,1,1,1,1,,
870,kangaroo,FOUND,kangaroo,1,1,1,1,,
870,lion,FOUND,lion,1,1,1,1,,
870,leopard,FOUND,leopard,1,1,1,1,,
870,cheetah,FOUND,cheetah,1,1,1,1,,
870,lizard,FOUND,lizard,1,1,1,1,,
870,cockroach,FOUND,cockroach,1,1,1,1,,
870,centipede,FOUND,centipede,1,1,1,1,,
870,millipede,FOUND,millipede,1,1,1,1,,
870,monkey,FOUND,monkey,1,1,1,1,,
870,ape,FOUND,ape,1,1,1,1,,
870,jaguar,FOUND,jaguar,1,1,1,1,,
870,anaconda,FOUND,anaconda,1,1,1,1,,
870,python,FOUND,python,1,1,1,1,,
870,roadrunner,FOUND,roadrunner,1,1,1,1,,
870,coyote,FOUND,coyote,1,1,1,1,,
870,polar bear,FOUND,polar bear,1,1,1,1,,
870,penguin,FOUND,penguin,1,1,1,1,,
870,pelican,FOUND,pelican,1,1,1,1,,
870,stork,FOUND,stork,1,1,1,1,,
872,thoroughbred dog,EXCLUDE,EXCLUDE,0,0,0,0,,
872,hanoverian scenthound,EXCLUDE,EXCLUDE,0,0,0,0,,
872,german shepherd,FOUND,german shepherd,1,1,1,1,,
872,winn dixie,EXCLUDE,EXCLUDE,0,0,0,0,,
872,border collie,FOUND,border collie,0,0,1,1,,
872,maine coon,FOUND,maine coon,0,0,1,1,,
872,savannah cat,FOUND,savannah cat,0,0,1,1,,
872,leopard,FOUND,leopard,1,1,1,1,,
872,lion,FOUND,lion,1,1,1,1,,
872,tiger,FOUND,tiger,1,1,1,1,,
872,bear,FOUND,bear,1,1,1,1,,
