"SID","entry","evaluation","replacement","entryInSNAFU","replacementInSNAFU","entryInTroyerEx","replacementInTroyerEx"
12,"tiger","FOUND","tiger",1,1,1,1
12,"whale","FOUND","whale",1,1,1,1
12,"zebra","FOUND","zebra",1,1,1,1
12,"alpaca","FOUND","alpaca",1,1,1,1
12,"baboon","FOUND","baboon",1,1,1,1
12,"komodo dragon","FOUND","komodo dragon",1,1,1,1
15,"cat","FOUND","cat",1,1,1,1
15,"dog","FOUND","dog",1,1,1,1
15,"parrot","FOUND","parrot",1,1,1,1
15,"lizard","FOUND","lizard",1,1,1,1
15,"fish","FOUND","fish",1,1,1,1
15,"turtle","FOUND","turtle",1,1,1,1
15,"snake","FOUND","snake",1,1,1,1
15,"tiger","FOUND","tiger",1,1,1,1
15,"lion","FOUND","lion",1,1,1,1
15,"giraffe","FOUND","giraffe",1,1,1,1
15,"cheetah","FOUND","cheetah",1,1,1,1
15,"mouse","FOUND","mouse",1,1,1,1
15,"deer","FOUND","deer",1,1,1,1
15,"wolf","FOUND","wolf",1,1,1,1
15,"rabbit","FOUND","rabbit",1,1,1,1
15,"cow","FOUND","cow",1,1,1,1
15,"pig","FOUND","pig",1,1,1,1
15,"horse","FOUND","horse",1,1,1,1
15,"whale","FOUND","whale",1,1,1,1
15,"panda","FOUND","panda",1,1,1,1
15,"raccoon","FOUND","raccoon",1,1,1,1
15,"bear","FOUND","bear",1,1,1,1
15,"rat","FOUND","rat",1,1,1,1
16,"zebra","FOUND","zebra",1,1,1,1
16,"lion","FOUND","lion",1,1,1,1
16,"tiger","FOUND","tiger",1,1,1,1
16,"bear","FOUND","bear",1,1,1,1
16,"shrimp","FOUND","shrimp",1,1,1,1
16,"cod","FOUND","cod",1,1,1,1
16,"cat","FOUND","cat",1,1,1,1
16,"dog","FOUND","dog",1,1,1,1
16,"parrot","FOUND","parrot",1,1,1,1
16,"fish","FOUND","fish",1,1,1,1
16,"hamster","FOUND","hamster",1,1,1,1
16,"guinea pig","FOUND","guinea pig",1,1,1,1
16,"horse","FOUND","horse",1,1,1,1
16,"monkey","FOUND","monkey",1,1,1,1
16,"gorilla","FOUND","gorilla",1,1,1,1
16,"bird","FOUND","bird",1,1,1,1
16,"eagle","FOUND","eagle",1,1,1,1
16,"shark","FOUND","shark",1,1,1,1
16,"whale","FOUND","whale",1,1,1,1
16,"frog","FOUND","frog",1,1,1,1
16,"salamander","FOUND","salamander",1,1,1,1
16,"spider","FOUND","spider",1,1,1,1
17,"dog","FOUND","dog",1,1,1,1
17,"cat","FOUND","cat",1,1,1,1
17,"fish","FOUND","fish",1,1,1,1
17,"snake","FOUND","snake",1,1,1,1
17,"frog","FOUND","frog",1,1,1,1
17,"bird","FOUND","bird",1,1,1,1
17,"monkey","FOUND","monkey",1,1,1,1
17,"giraffe","FOUND","giraffe",1,1,1,1
17,"elephant","FOUND","elephant",1,1,1,1
17,"zebra","FOUND","zebra",1,1,1,1
17,"horse","FOUND","horse",1,1,1,1
17,"rhino","FOUND","rhino",1,1,1,1
17,"peacock","FOUND","peacock",1,1,1,1
17,"ostrich","FOUND","ostrich",1,1,1,1
17,"flamingo","FOUND","flamingo",1,1,1,1
17,"lion","FOUND","lion",1,1,1,1
17,"cheetah","FOUND","cheetah",1,1,1,1
17,"panther","FOUND","panther",1,1,1,1
17,"bobcat","FOUND","bobcat",1,1,1,1
18,"dog","FOUND","dog",1,1,1,1
18,"cat","FOUND","cat",1,1,1,1
18,"fish","FOUND","fish",1,1,1,1
18,"snake","FOUND","snake",1,1,1,1
18,"frog","FOUND","frog",1,1,1,1
18,"bird","FOUND","bird",1,1,1,1
18,"monkey","FOUND","monkey",1,1,1,1
18,"giraffe","FOUND","giraffe",1,1,1,1
18,"elephant","FOUND","elephant",1,1,1,1
18,"zebra","FOUND","zebra",1,1,1,1
18,"horse","FOUND","horse",1,1,1,1
18,"rhino","FOUND","rhino",1,1,1,1
18,"peacock","FOUND","peacock",1,1,1,1
18,"ostrich","FOUND","ostrich",1,1,1,1
18,"flamingo","FOUND","flamingo",1,1,1,1
18,"lion","FOUND","lion",1,1,1,1
18,"cheetah","FOUND","cheetah",1,1,1,1
18,"panther","FOUND","panther",1,1,1,1
18,"bobcat","FOUND","bobcat",1,1,1,1
19,"horse","FOUND","horse",1,1,1,1
19,"moose","FOUND","moose",1,1,1,1
19,"cow","FOUND","cow",1,1,1,1
19,"cat","FOUND","cat",1,1,1,1
19,"dog","FOUND","dog",1,1,1,1
19,"frog","FOUND","frog",1,1,1,1
19,"flamingo","FOUND","flamingo",1,1,1,1
19,"hippo","FOUND","hippo",0,0,1,1
19,"penguin","FOUND","penguin",1,1,1,1
19,"jaguar","FOUND","jaguar",1,1,1,1
19,"bobcat","FOUND","bobcat",1,1,1,1
19,"octopus","FOUND","octopus",1,1,1,1
19,"squid","FOUND","squid",1,1,1,1
19,"fish","FOUND","fish",1,1,1,1
19,"shark","FOUND","shark",1,1,1,1
19,"dolphin","FOUND","dolphin",1,1,1,1
19,"jellyfish","FOUND","jellyfish",1,1,1,1
19,"giraffe","FOUND","giraffe",1,1,1,1
19,"elephant","FOUND","elephant",1,1,1,1
19,"zebra","FOUND","zebra",1,1,1,1
19,"deer","FOUND","deer",1,1,1,1
19,"squirrel","FOUND","squirrel",1,1,1,1
19,"groundhog","FOUND","groundhog",1,1,1,1
19,"butterfly","FOUND","butterfly",1,1,1,1
19,"caterpillar","FOUND","caterpillar",1,1,1,1
19,"beetle","FOUND","beetle",1,1,1,1
19,"stink bug","REPLACE","stinkbug",0,1,1,0
19,"rabbit","FOUND","rabbit",1,1,1,1
19,"iguana","FOUND","iguana",1,1,1,1
19,"lizard","FOUND","lizard",1,1,1,1
19,"turtle","FOUND","turtle",1,1,1,1
20,"dog","FOUND","dog",1,1,1,1
20,"bird","FOUND","bird",1,1,1,1
20,"cat","FOUND","cat",1,1,1,1
20,"fish","FOUND","fish",1,1,1,1
20,"elephant","FOUND","elephant",1,1,1,1
20,"giraffe","FOUND","giraffe",1,1,1,1
20,"mastodon","FOUND","mastodon",1,1,1,1
20,"dinosaur","FOUND","dinosaur",1,1,1,1
20,"snake","FOUND","snake",1,1,1,1
20,"lizard","FOUND","lizard",1,1,1,1
20,"tarantula","FOUND","tarantula",1,1,1,1
20,"weasel","FOUND","weasel",1,1,1,1
20,"ferret","FOUND","ferret",1,1,1,1
20,"rat","FOUND","rat",1,1,1,1
20,"squirrel","FOUND","squirrel",1,1,1,1
20,"whale","FOUND","whale",1,1,1,1
20,"shark","FOUND","shark",1,1,1,1
21,"snake","FOUND","snake",1,1,1,1
21,"bird","FOUND","bird",1,1,1,1
21,"lion","FOUND","lion",1,1,1,1
21,"cat","FOUND","cat",1,1,1,1
21,"elephant","FOUND","elephant",1,1,1,1
21,"coyote","FOUND","coyote",1,1,1,1
21,"fish","FOUND","fish",1,1,1,1
21,"whale","FOUND","whale",1,1,1,1
21,"seal","FOUND","seal",1,1,1,1
21,"salmon","FOUND","salmon",1,1,1,1
21,"deer","FOUND","deer",1,1,1,1
21,"cow","FOUND","cow",1,1,1,1
21,"pig","FOUND","pig",1,1,1,1
21,"chicken","FOUND","chicken",1,1,1,1
21,"goat","FOUND","goat",1,1,1,1
21,"sheep","FOUND","sheep",1,1,1,1
21,"human","FOUND","human",1,1,1,1
21,"monkey","FOUND","monkey",1,1,1,1
21,"gorilla","FOUND","gorilla",1,1,1,1
21,"rhino","FOUND","rhino",1,1,1,1
21,"panda","FOUND","panda",1,1,1,1
21,"bear","FOUND","bear",1,1,1,1
21,"spider","FOUND","spider",1,1,1,1
21,"ant","FOUND","ant",1,1,1,1
22,"dog","FOUND","dog",1,1,1,1
22,"cat","FOUND","cat",1,1,1,1
22,"snake","FOUND","snake",1,1,1,1
22,"sloth","FOUND","sloth",1,1,1,1
22,"lion","FOUND","lion",1,1,1,1
22,"frog","FOUND","frog",1,1,1,1
22,"octopus","FOUND","octopus",1,1,1,1
22,"butterfly","FOUND","butterfly",1,1,1,1
22,"gorilla","FOUND","gorilla",1,1,1,1
22,"zebra","FOUND","zebra",1,1,1,1
22,"ostrich","FOUND","ostrich",1,1,1,1
22,"whale","FOUND","whale",1,1,1,1
22,"dolphin","FOUND","dolphin",1,1,1,1
22,"fish","FOUND","fish",1,1,1,1
22,"flamingo","FOUND","flamingo",1,1,1,1
22,"polar bear","FOUND","polar bear",1,1,1,1
22,"bear","FOUND","bear",1,1,1,1
22,"hamster","FOUND","hamster",1,1,1,1
22,"chinchilla","FOUND","chinchilla",1,1,1,1
23,"tiger","FOUND","tiger",1,1,1,1
23,"lion","FOUND","lion",1,1,1,1
23,"bear","FOUND","bear",1,1,1,1
23,"ostrich","FOUND","ostrich",1,1,1,1
23,"dog","FOUND","dog",1,1,1,1
23,"cat","FOUND","cat",1,1,1,1
23,"bird","FOUND","bird",1,1,1,1
23,"fish","FOUND","fish",1,1,1,1
23,"alpaca","FOUND","alpaca",1,1,1,1
23,"llama","FOUND","llama",1,1,1,1
23,"cow","FOUND","cow",1,1,1,1
23,"pig","FOUND","pig",1,1,1,1
23,"chicken","FOUND","chicken",1,1,1,1
23,"elephant","FOUND","elephant",1,1,1,1
23,"antelope","FOUND","antelope",1,1,1,1
23,"jaguar","FOUND","jaguar",1,1,1,1
23,"shark","FOUND","shark",1,1,1,1
23,"whale","FOUND","whale",1,1,1,1
23,"dolphin","FOUND","dolphin",1,1,1,1
23,"monkey","FOUND","monkey",1,1,1,1
23,"baboon","FOUND","baboon",1,1,1,1
23,"gorilla","FOUND","gorilla",1,1,1,1
23,"snake","FOUND","snake",1,1,1,1
23,"salamander","FOUND","salamander",1,1,1,1
24,"cat","FOUND","cat",1,1,1,1
24,"dog","FOUND","dog",1,1,1,1
24,"bird","FOUND","bird",1,1,1,1
24,"cheetah","FOUND","cheetah",1,1,1,1
24,"lion","FOUND","lion",1,1,1,1
24,"giraffe","FOUND","giraffe",1,1,1,1
24,"zebra","FOUND","zebra",1,1,1,1
24,"hippo","FOUND","hippo",0,0,1,1
24,"panda","FOUND","panda",1,1,1,1
24,"horse","FOUND","horse",1,1,1,1
24,"pig","FOUND","pig",1,1,1,1
24,"chicken","FOUND","chicken",1,1,1,1
24,"lamb","FOUND","lamb",1,1,1,1
24,"cow","FOUND","cow",1,1,1,1
24,"bird","FOUND","bird",1,1,1,1
24,"butterfly","FOUND","butterfly",1,1,1,1
24,"scorpion","FOUND","scorpion",1,1,1,1
24,"shark","FOUND","shark",1,1,1,1
24,"whale","FOUND","whale",1,1,1,1
25,"cat","FOUND","cat",1,1,1,1
25,"dog","FOUND","dog",1,1,1,1
25,"lizard","FOUND","lizard",1,1,1,1
25,"turtle","FOUND","turtle",1,1,1,1
25,"mouse","FOUND","mouse",1,1,1,1
25,"deer","FOUND","deer",1,1,1,1
25,"zebra","FOUND","zebra",1,1,1,1
25,"lion","FOUND","lion",1,1,1,1
25,"tiger","FOUND","tiger",1,1,1,1
25,"panther","FOUND","panther",1,1,1,1
25,"crocodile","FOUND","crocodile",1,1,1,1
25,"frog","FOUND","frog",1,1,1,1
25,"bird","FOUND","bird",1,1,1,1
25,"crab","FOUND","crab",1,1,1,1
25,"fish","FOUND","fish",1,1,1,1
25,"octopus","FOUND","octopus",1,1,1,1
25,"dolphin","FOUND","dolphin",1,1,1,1
25,"whale","FOUND","whale",1,1,1,1
25,"fox","FOUND","fox",1,1,1,1
25,"monkey","FOUND","monkey",1,1,1,1
26,"koala","FOUND","koala",1,1,1,1
26,"tiger","FOUND","tiger",1,1,1,1
26,"bear","FOUND","bear",1,1,1,1
26,"dog","FOUND","dog",1,1,1,1
26,"cat","FOUND","cat",1,1,1,1
26,"shark","FOUND","shark",1,1,1,1
26,"fish","FOUND","fish",1,1,1,1
26,"hamster","FOUND","hamster",1,1,1,1
26,"red panda","FOUND","red panda",1,1,1,1
26,"giant panda","FOUND","giant panda",1,1,1,1
26,"giraffe","FOUND","giraffe",1,1,1,1
26,"elephant","FOUND","elephant",1,1,1,1
26,"lion","FOUND","lion",1,1,1,1
26,"leopard","FOUND","leopard",1,1,1,1
26,"rabbit","FOUND","rabbit",1,1,1,1
26,"horse","FOUND","horse",1,1,1,1
26,"bat","FOUND","bat",1,1,1,1
26,"anteater","FOUND","anteater",1,1,1,1
26,"deer","FOUND","deer",1,1,1,1
26,"sheep","FOUND","sheep",1,1,1,1
26,"cow","FOUND","cow",1,1,1,1
26,"pig","FOUND","pig",1,1,1,1
26,"praying mantis","FOUND","praying mantis",1,1,1,1
26,"butterfly","FOUND","butterfly",1,1,1,1
26,"moth","FOUND","moth",1,1,1,1
28,"Escherichia coli","EXCLUDE","EXCLUDE",0,0,0,0
28,"genus","REPLACE","gnu",0,1,0,1
28,"fly","FOUND","fly",1,1,1,1
28,"deer","FOUND","deer",1,1,1,1
28,"polar bear","FOUND","polar bear",1,1,1,1
28,"brown bear","FOUND","brown bear",1,1,1,1
28,"black bear","FOUND","black bear",1,1,1,1
28,"jellyfish","FOUND","jellyfish",1,1,1,1
28,"giant squid","FOUND","giant squid",1,1,1,1
28,"blue whale","FOUND","blue whale",1,1,1,1
28,"mako shark","FOUND","mako shark",1,1,1,1
28,"great white shark","FOUND","great white shark",1,1,1,1
28,"barracuda","FOUND","barracuda",1,1,1,1
28,"elk","FOUND","elk",1,1,1,1
28,"moose","FOUND","moose",1,1,1,1
28,"panther","FOUND","panther",1,1,1,1
28,"lion","FOUND","lion",1,1,1,1
28,"cheetah","FOUND","cheetah",1,1,1,1
28,"gorilla","FOUND","gorilla",1,1,1,1
28,"rhino","FOUND","rhino",1,1,1,1
28,"sea lion","FOUND","sea lion",0,0,1,1
28,"seal","FOUND","seal",1,1,1,1
28,"viper","FOUND","viper",1,1,1,1
28,"sea snake","FOUND","sea snake",1,1,1,1
28,"penguin","FOUND","penguin",1,1,1,1
28,"mantis","FOUND","mantis",1,1,0,0
28,"tarantula","FOUND","tarantula",1,1,1,1
28,"black widow","FOUND","black widow",1,1,1,1
29,"snake","FOUND","snake",1,1,1,1
29,"lion","FOUND","lion",1,1,1,1
29,"elephant","FOUND","elephant",1,1,1,1
29,"zebra","FOUND","zebra",1,1,1,1
29,"giraffe","FOUND","giraffe",1,1,1,1
29,"bear","FOUND","bear",1,1,1,1
29,"squirrel","FOUND","squirrel",1,1,1,1
29,"frog","FOUND","frog",1,1,1,1
29,"dog","FOUND","dog",1,1,1,1
29,"cat","FOUND","cat",1,1,1,1
29,"bird","FOUND","bird",1,1,1,1
29,"reptile","FOUND","reptile",1,1,1,1
29,"lizard","FOUND","lizard",1,1,1,1
29,"seal","FOUND","seal",1,1,1,1
29,"sea lion","FOUND","sea lion",0,0,1,1
29,"fish","FOUND","fish",1,1,1,1
29,"tiger","FOUND","tiger",1,1,1,1
29,"moose","FOUND","moose",1,1,1,1
29,"kangaroo","FOUND","kangaroo",1,1,1,1
29,"emu","FOUND","emu",1,1,1,1
29,"platypus","FOUND","platypus",1,1,1,1
30,"cat","FOUND","cat",1,1,1,1
30,"dog","FOUND","dog",1,1,1,1
30,"horse","FOUND","horse",1,1,1,1
30,"tiger","FOUND","tiger",1,1,1,1
30,"chipmunk","FOUND","chipmunk",1,1,1,1
30,"squirrel","FOUND","squirrel",1,1,1,1
30,"fish","FOUND","fish",1,1,1,1
30,"guinea pig","FOUND","guinea pig",1,1,1,1
30,"hamster","FOUND","hamster",1,1,1,1
30,"zebra","FOUND","zebra",1,1,1,1
30,"giraffe","FOUND","giraffe",1,1,1,1
30,"elephant","FOUND","elephant",1,1,1,1
30,"lion","FOUND","lion",1,1,1,1
30,"cheetah","FOUND","cheetah",1,1,1,1
30,"leopard","FOUND","leopard",1,1,1,1
30,"snow leopard","FOUND","snow leopard",1,1,1,1
30,"panther","FOUND","panther",1,1,1,1
30,"wolf","FOUND","wolf",1,1,1,1
30,"bear","FOUND","bear",1,1,1,1
30,"polar bear","FOUND","polar bear",1,1,1,1
30,"bird","FOUND","bird",1,1,1,1
30,"pigeon","FOUND","pigeon",1,1,1,1
30,"alligator","FOUND","alligator",1,1,1,1
30,"crocodile","FOUND","crocodile",1,1,1,1
30,"crane","FOUND","crane",1,1,1,1
30,"lizard","FOUND","lizard",1,1,1,1
30,"snake","FOUND","snake",1,1,1,1
31,"ant","FOUND","ant",1,1,1,1
31,"anteater","FOUND","anteater",1,1,1,1
31,"fox","FOUND","fox",1,1,1,1
31,"red panda","FOUND","red panda",1,1,1,1
31,"aye aye","FOUND","aye aye",0,0,1,1
31,"sloth","FOUND","sloth",1,1,1,1
31,"quail","FOUND","quail",1,1,1,1
31,"cardinal","FOUND","cardinal",1,1,1,1
31,"turtle","FOUND","turtle",1,1,1,1
31,"tortoise","FOUND","tortoise",1,1,1,1
31,"elephant","FOUND","elephant",1,1,1,1
31,"hedgehog","FOUND","hedgehog",1,1,1,1
31,"penis worm","FOUND","penis worm",0,0,1,1
31,"human","FOUND","human",1,1,1,1
31,"tiger","FOUND","tiger",1,1,1,1
31,"lion","FOUND","lion",1,1,1,1
31,"bee","FOUND","bee",1,1,1,1
31,"shark","FOUND","shark",1,1,1,1
31,"sponge","FOUND","sponge",1,1,1,1
31,"cow","FOUND","cow",1,1,1,1
32,"dog","FOUND","dog",1,1,1,1
32,"cat","FOUND","cat",1,1,1,1
32,"fish","FOUND","fish",1,1,1,1
32,"manatee","FOUND","manatee",1,1,1,1
32,"gorilla","FOUND","gorilla",1,1,1,1
32,"orangutan","FOUND","orangutan",1,1,1,1
32,"flamingo","FOUND","flamingo",1,1,1,1
32,"deer","FOUND","deer",1,1,1,1
32,"fox","FOUND","fox",1,1,1,1
32,"bear","FOUND","bear",1,1,1,1
32,"lion","FOUND","lion",1,1,1,1
32,"zebra","FOUND","zebra",1,1,1,1
32,"giraffe","FOUND","giraffe",1,1,1,1
32,"elephant","FOUND","elephant",1,1,1,1
33,"horse","FOUND","horse",1,1,1,1
33,"pig","FOUND","pig",1,1,1,1
33,"fish","FOUND","fish",1,1,1,1
33,"duck","FOUND","duck",1,1,1,1
33,"goose","FOUND","goose",1,1,1,1
33,"bird","FOUND","bird",1,1,1,1
33,"giraffe","FOUND","giraffe",1,1,1,1
33,"elephant","FOUND","elephant",1,1,1,1
33,"whale","FOUND","whale",1,1,1,1
33,"shark","FOUND","shark",1,1,1,1
33,"lion","FOUND","lion",1,1,1,1
33,"tiger","FOUND","tiger",1,1,1,1
33,"bear","FOUND","bear",1,1,1,1
33,"mosquito","FOUND","mosquito",1,1,1,1
33,"cicada","FOUND","cicada",1,1,1,1
33,"ladybug","FOUND","ladybug",1,1,1,1
33,"grasshopper","FOUND","grasshopper",1,1,1,1
33,"spider","FOUND","spider",1,1,1,1
33,"ant","FOUND","ant",1,1,1,1
33,"cat","FOUND","cat",1,1,1,1
33,"snake","FOUND","snake",1,1,1,1
33,"iguana","FOUND","iguana",1,1,1,1
33,"ostrich","FOUND","ostrich",1,1,1,1
35,"dog","FOUND","dog",1,1,1,1
35,"cat","FOUND","cat",1,1,1,1
35,"lion","FOUND","lion",1,1,1,1
35,"tiger","FOUND","tiger",1,1,1,1
35,"bear","FOUND","bear",1,1,1,1
35,"cow","FOUND","cow",1,1,1,1
35,"chicken","FOUND","chicken",1,1,1,1
35,"pig","FOUND","pig",1,1,1,1
35,"sheep","FOUND","sheep",1,1,1,1
35,"alligator","FOUND","alligator",1,1,1,1
35,"bird","FOUND","bird",1,1,1,1
35,"parrot","FOUND","parrot",1,1,1,1
35,"guinea pig","FOUND","guinea pig",1,1,1,1
35,"hamster","FOUND","hamster",1,1,1,1
35,"horse","FOUND","horse",1,1,1,1
35,"donkey","FOUND","donkey",1,1,1,1
35,"mule","FOUND","mule",1,1,1,1
35,"giraffe","FOUND","giraffe",1,1,1,1
35,"hyena","FOUND","hyena",1,1,1,1
35,"zebra","FOUND","zebra",1,1,1,1
35,"polar bear","FOUND","polar bear",1,1,1,1
35,"black bear","FOUND","black bear",1,1,1,1
35,"koala","FOUND","koala",1,1,1,1
37,"seal","FOUND","seal",1,1,1,1
37,"buffalo","FOUND","buffalo",1,1,1,1
37,"bug","FOUND","bug",1,1,1,1
37,"beetle","FOUND","beetle",1,1,1,1
37,"dog","FOUND","dog",1,1,1,1
37,"cat","FOUND","cat",1,1,1,1
