"Subject","Fluency_Item","norms_snafu_associative","v","subject","response","troyer_fluid_switch","troyer_static_switch","version","response_match","switch_match"
6,"triceratops",0,"V1",6,"triceratops",0,0,"V1",1,1
6,"crow",1,"V1",6,"crow",1,1,"V1",1,1
6,"raven",0,"V1",6,"raven",0,0,"V1",1,1
6,"pigeon",0,"V1",6,"pigeon",0,0,"V1",1,1
6,"pheasant",0,"V1",6,"pheasant",0,0,"V1",1,1
6,"deer",1,"V1",6,"deer",1,1,"V1",1,1
6,"bear",0,"V1",6,"bear",1,1,"V1",1,0
6,"horse",1,"V1",6,"horse",1,1,"V1",1,1
6,"monkey",1,"V1",6,"monkey",1,1,"V1",1,1
6,"gorilla",0,"V1",6,"gorilla",0,0,"V1",1,1
6,"caiman",1,"V1",6,"caiman",1,1,"V1",1,1
6,"salamander",0,"V1",6,"salamander",0,0,"V1",1,1
6,"boaconstrictor",0,"V1",6,"boaconstrictor",0,0,"V1",1,1
7,"alligator",1,"V1",7,"alligator",1,1,"V1",1,1
7,"possum",1,"V1",7,"possum",1,1,"V1",1,1
7,"elephant",1,"V1",7,"elephant",1,1,"V1",1,1
7,"giraffe",0,"V1",7,"giraffe",0,0,"V1",1,1
7,"tiger",0,"V1",7,"tiger",1,1,"V1",1,0
7,"lion",0,"V1",7,"lion",0,0,"V1",1,1
7,"bear",1,"V1",7,"bear",1,1,"V1",1,1
7,"dog",1,"V1",7,"dog",1,1,"V1",1,1
7,"cat",0,"V1",7,"cat",0,0,"V1",1,1
7,"rat",1,"V1",7,"rat",1,1,"V1",1,1
7,"raccoon",1,"V1",7,"raccoon",1,1,"V1",1,1
7,"deer",0,"V1",7,"deer",1,1,"V1",1,0
7,"stinkbug",1,"V1",7,"stinkbug",1,1,"V1",1,1
7,"scorpion",0,"V1",7,"scorpion",0,0,"V1",1,1
7,"spider",1,"V1",7,"spider",0,0,"V1",1,0
7,"wolf",1,"V1",7,"wolf",1,1,"V1",1,1
7,"fox",0,"V1",7,"fox",0,0,"V1",1,1
7,"muskrat",1,"V1",7,"muskrat",1,1,"V1",1,1
7,"mouse",0,"V1",7,"mouse",0,0,"V1",1,1
7,"hamster",0,"V1",7,"hamster",0,0,"V1",1,1
7,"squirrel",0,"V1",7,"squirrel",0,0,"V1",1,1
7,"guineapig",0,"V1",7,"guineapig",0,0,"V1",1,1
7,"gerbil",0,"V1",7,"gerbil",0,0,"V1",1,1
7,"anteater",1,"V1",7,"anteater",1,1,"V1",1,1
7,"snake",1,"V1",7,"snake",1,1,"V1",1,1
11,"dog",0,"V1",11,"dog",0,0,"V1",1,1
11,"redpanda",1,"V1",11,"redpanda",1,1,"V1",1,1
11,"lemur",1,"V1",11,"lemur",1,1,"V1",1,1
11,"fennecfox",0,"V1",11,"fennecfox",0,0,"V1",1,1
11,"tiger",0,"V1",11,"tiger",1,1,"V1",1,0
11,"lion",0,"V1",11,"lion",0,0,"V1",1,1
11,"elephant",0,"V1",11,"elephant",0,0,"V1",1,1
11,"flamingo",1,"V1",11,"flamingo",1,1,"V1",1,1
11,"sandpiper",0,"V1",11,"sandpiper",0,0,"V1",1,1
11,"fairytern",1,"V1",11,"fairytern",0,0,"V1",1,0
11,"monkey",1,"V1",11,"monkey",1,1,"V1",1,1
11,"chimpanzee",0,"V1",11,"chimpanzee",0,0,"V1",1,1
11,"orangutan",0,"V1",11,"orangutan",0,0,"V1",1,1
11,"havanesedog",1,"V1",11,"havanesedog",1,1,"V1",1,1
11,"dog",0,"V1",11,"dog",0,0,"V1",1,1
11,"snake",1,"V1",11,"snake",1,0,"V1",1,1
11,"gartersnake",0,"V1",11,"gartersnake",0,1,"V1",1,1
11,"deer",0,"V1",11,"deer",1,1,"V1",1,0
11,"fox",0,"V1",11,"fox",1,1,"V1",1,0
11,"porcupine",1,"V1",11,"porcupine",1,1,"V1",1,1
11,"hedgehog",0,"V1",11,"hedgehog",1,1,"V1",1,0
11,"ant",1,"V1",11,"ant",1,1,"V1",1,1
11,"butterfly",0,"V1",11,"butterfly",0,0,"V1",1,1
11,"dragonfly",0,"V1",11,"dragonfly",0,0,"V1",1,1
11,"rabbit",1,"V1",11,"rabbit",1,1,"V1",1,1
11,"chicken",1,"V1",11,"chicken",1,1,"V1",1,1
12,"bear",1,"V1",12,"bear",1,1,"V1",1,1
12,"cat",1,"V1",12,"cat",1,1,"V1",1,1
12,"dog",0,"V1",12,"dog",0,0,"V1",1,1
12,"frog",1,"V1",12,"frog",1,1,"V1",1,1
12,"goat",1,"V1",12,"goat",1,1,"V1",1,1
12,"iguana",1,"V1",12,"iguana",1,1,"V1",1,1
12,"jaguar",1,"V1",12,"jaguar",1,1,"V1",1,1
12,"kangaroo",1,"V1",12,"kangaroo",1,1,"V1",1,1
12,"llama",1,"V1",12,"llama",1,1,"V1",1,1
12,"orca",1,"V1",12,"orca",1,1,"V1",1,1
12,"penguin",0,"V1",12,"penguin",0,0,"V1",1,1
12,"rabbit",1,"V1",12,"rabbit",1,1,"V1",1,1
12,"spider",1,"V1",12,"spider",1,1,"V1",1,1
12,"tiger",1,"V1",12,"tiger",1,1,"V1",1,1
12,"whale",1,"V1",12,"whale",1,1,"V1",1,1
12,"zebra",1,"V1",12,"zebra",1,1,"V1",1,1
12,"alpaca",1,"V1",12,"alpaca",1,1,"V1",1,1
12,"baboon",1,"V1",12,"baboon",1,1,"V1",1,1
12,"komododragon",1,"V1",12,"komododragon",1,1,"V1",1,1
15,"dog",0,"V1",15,"dog",0,0,"V1",1,1
15,"parrot",0,"V1",15,"parrot",0,0,"V1",1,1
15,"lizard",1,"V1",15,"lizard",1,1,"V1",1,1
15,"fish",1,"V1",15,"fish",1,1,"V1",1,1
15,"turtle",0,"V1",15,"turtle",0,0,"V1",1,1
15,"snake",0,"V1",15,"snake",0,0,"V1",1,1
15,"tiger",1,"V1",15,"tiger",1,1,"V1",1,1
15,"lion",0,"V1",15,"lion",0,0,"V1",1,1
15,"giraffe",0,"V1",15,"giraffe",0,1,"V1",1,1
15,"cheetah",0,"V1",15,"cheetah",0,0,"V1",1,1
15,"mouse",1,"V1",15,"mouse",1,1,"V1",1,1
15,"deer",1,"V1",15,"deer",1,1,"V1",1,1
15,"wolf",0,"V1",15,"wolf",1,1,"V1",1,0
15,"rabbit",0,"V1",15,"rabbit",1,1,"V1",1,0
15,"cow",1,"V1",15,"cow",1,1,"V1",1,1
15,"pig",0,"V1",15,"pig",0,0,"V1",1,1
15,"horse",0,"V1",15,"horse",0,0,"V1",1,1
15,"whale",1,"V1",15,"whale",1,1,"V1",1,1
15,"panda",1,"V1",15,"panda",1,1,"V1",1,1
15,"raccoon",1,"V1",15,"raccoon",1,1,"V1",1,1
15,"bear",0,"V1",15,"bear",1,1,"V1",1,0
15,"rat",1,"V1",15,"rat",1,1,"V1",1,1
16,"lion",0,"V1",16,"lion",0,0,"V1",1,1
16,"tiger",0,"V1",16,"tiger",0,1,"V1",1,1
16,"bear",1,"V1",16,"bear",1,1,"V1",1,1
16,"shrimp",1,"V1",16,"shrimp",1,1,"V1",1,1
16,"cod",0,"V1",16,"cod",0,0,"V1",1,1
16,"cat",1,"V1",16,"cat",1,1,"V1",1,1
16,"dog",0,"V1",16,"dog",0,0,"V1",1,1
16,"parrot",0,"V1",16,"parrot",0,0,"V1",1,1
16,"fish",1,"V1",16,"fish",0,0,"V1",1,0
16,"hamster",1,"V1",16,"hamster",0,0,"V1",1,0
16,"guineapig",0,"V1",16,"guineapig",0,0,"V1",1,1
16,"horse",1,"V1",16,"horse",1,1,"V1",1,1
16,"monkey",1,"V1",16,"monkey",1,1,"V1",1,1
16,"gorilla",0,"V1",16,"gorilla",0,0,"V1",1,1
16,"bird",1,"V1",16,"bird",1,1,"V1",1,1
16,"eagle",0,"V1",16,"eagle",0,0,"V1",1,1
16,"shark",1,"V1",16,"shark",1,1,"V1",1,1
16,"whale",0,"V1",16,"whale",0,0,"V1",1,1
16,"frog",0,"V1",16,"frog",0,0,"V1",1,1
16,"salamander",0,"V1",16,"salamander",0,0,"V1",1,1
16,"spider",1,"V1",16,"spider",1,1,"V1",1,1
17,"cat",0,"V1",17,"cat",0,0,"V1",1,1
17,"fish",1,"V1",17,"fish",0,0,"V1",1,0
17,"snake",1,"V1",17,"snake",0,0,"V1",1,0
17,"frog",0,"V1",17,"frog",0,1,"V1",1,1
17,"bird",1,"V1",17,"bird",1,1,"V1",1,1
17,"monkey",1,"V1",17,"monkey",1,1,"V1",1,1
17,"giraffe",0,"V1",17,"giraffe",1,1,"V1",1,0
17,"elephant",0,"V1",17,"elephant",0,0,"V1",1,1
17,"zebra",0,"V1",17,"zebra",0,0,"V1",1,1
17,"horse",1,"V1",17,"horse",1,1,"V1",1,1
17,"rhino",1,"V1",17,"rhino",1,1,"V1",1,1
17,"peacock",1,"V1",17,"peacock",0,0,"V1",1,0
17,"ostrich",0,"V1",17,"ostrich",0,1,"V1",1,1
17,"flamingo",0,"V1",17,"flamingo",0,0,"V1",1,1
17,"lion",1,"V1",17,"lion",1,1,"V1",1,1
17,"cheetah",0,"V1",17,"cheetah",0,0,"V1",1,1
17,"panther",0,"V1",17,"panther",0,0,"V1",1,1
17,"bobcat",0,"V1",17,"bobcat",0,0,"V1",1,1
18,"cat",0,"V1",18,"cat",0,0,"V1",1,1
18,"fish",1,"V1",18,"fish",0,0,"V1",1,0
18,"snake",1,"V1",18,"snake",0,0,"V1",1,0
18,"frog",0,"V1",18,"frog",0,1,"V1",1,1
18,"bird",1,"V1",18,"bird",1,1,"V1",1,1
18,"monkey",1,"V1",18,"monkey",1,1,"V1",1,1
18,"giraffe",0,"V1",18,"giraffe",1,1,"V1",1,0
18,"elephant",0,"V1",18,"elephant",0,0,"V1",1,1
18,"zebra",0,"V1",18,"zebra",0,0,"V1",1,1
18,"horse",1,"V1",18,"horse",1,1,"V1",1,1
18,"rhino",1,"V1",18,"rhino",1,1,"V1",1,1
18,"peacock",1,"V1",18,"peacock",0,0,"V1",1,0
18,"ostrich",0,"V1",18,"ostrich",0,1,"V1",1,1
18,"flamingo",0,"V1",18,"flamingo",0,0,"V1",1,1
18,"lion",1,"V1",18,"lion",1,1,"V1",1,1
18,"cheetah",0,"V1",18,"cheetah",0,0,"V1",1,1
18,"panther",0,"V1",18,"panther",0,0,"V1",1,1
18,"bobcat",0,"V1",18,"bobcat",0,0,"V1",1,1
19,"moose",1,"V1",19,"moose",1,1,"V1",1,1
19,"cow",1,"V1",19,"cow",0,0,"V1",1,0
19,"cat",1,"V1",19,"cat",1,1,"V1",1,1
19,"dog",0,"V1",19,"dog",0,0,"V1",1,1
19,"frog",1,"V1",19,"frog",1,1,"V1",1,1
19,"flamingo",1,"V1",19,"flamingo",1,1,"V1",1,1
19,"hippo",1,"V1",19,"hippo",1,1,"V1",1,1
19,"penguin",1,"V1",19,"penguin",0,0,"V1",1,0
19,"jaguar",1,"V1",19,"jaguar",1,1,"V1",1,1
19,"bobcat",0,"V1",19,"bobcat",0,0,"V1",1,1
19,"octopus",1,"V1",19,"octopus",1,1,"V1",1,1
19,"squid",0,"V1",19,"squid",0,0,"V1",1,1
19,"fish",0,"V1",19,"fish",0,0,"V1",1,1
19,"shark",0,"V1",19,"shark",0,0,"V1",1,1
19,"dolphin",0,"V1",19,"dolphin",0,0,"V1",1,1
19,"jellyfish",0,"V1",19,"jellyfish",0,0,"V1",1,1
19,"giraffe",1,"V1",19,"giraffe",1,1,"V1",1,1
19,"elephant",0,"V1",19,"elephant",0,0,"V1",1,1
19,"zebra",0,"V1",19,"zebra",0,0,"V1",1,1
19,"deer",1,"V1",19,"deer",1,1,"V1",1,1
19,"squirrel",0,"V1",19,"squirrel",1,1,"V1",1,0
19,"groundhog",0,"V1",19,"groundhog",0,0,"V1",1,1
19,"butterfly",1,"V1",19,"butterfly",1,1,"V1",1,1
19,"caterpillar",0,"V1",19,"caterpillar",0,0,"V1",1,1
19,"beetle",0,"V1",19,"beetle",0,0,"V1",1,1
19,"stinkbug",0,"V1",19,"stinkbug",0,0,"V1",1,1
19,"rabbit",1,"V1",19,"rabbit",1,1,"V1",1,1
19,"iguana",1,"V1",19,"iguana",0,0,"V1",1,0
19,"lizard",0,"V1",19,"lizard",0,1,"V1",1,1
19,"turtle",0,"V1",19,"turtle",0,0,"V1",1,1
20,"bird",1,"V1",20,"bird",0,0,"V1",1,0
20,"cat",1,"V1",20,"cat",0,0,"V1",1,0
20,"fish",1,"V1",20,"fish",0,0,"V1",1,0
20,"elephant",1,"V1",20,"elephant",1,1,"V1",1,1
20,"giraffe",0,"V1",20,"giraffe",0,0,"V1",1,1
20,"mastodon",1,"V1",20,"mastodon",1,1,"V1",1,1
20,"dinosaur",1,"V1",20,"dinosaur",0,0,"V1",1,0
20,"snake",0,"V1",20,"snake",0,1,"V1",1,1
20,"lizard",0,"V1",20,"lizard",0,0,"V1",1,1
20,"tarantula",1,"V1",20,"tarantula",1,1,"V1",1,1
20,"weasel",1,"V1",20,"weasel",1,1,"V1",1,1
20,"ferret",0,"V1",20,"ferret",0,0,"V1",1,1
20,"rat",1,"V1",20,"rat",1,1,"V1",1,1
20,"squirrel",0,"V1",20,"squirrel",0,0,"V1",1,1
20,"whale",1,"V1",20,"whale",1,1,"V1",1,1
20,"shark",0,"V1",20,"shark",0,0,"V1",1,1
21,"bird",1,"V1",21,"bird",0,0,"V1",1,0
21,"lion",1,"V1",21,"lion",1,1,"V1",1,1
21,"cat",1,"V1",21,"cat",0,0,"V1",1,0
21,"elephant",1,"V1",21,"elephant",1,1,"V1",1,1
21,"coyote",1,"V1",21,"coyote",1,1,"V1",1,1
21,"fish",1,"V1",21,"fish",1,1,"V1",1,1
21,"whale",0,"V1",21,"whale",0,0,"V1",1,1
21,"seal",0,"V1",21,"seal",0,0,"V1",1,1
21,"salmon",1,"V1",21,"salmon",0,0,"V1",1,0
21,"deer",1,"V1",21,"deer",1,1,"V1",1,1
21,"cow",1,"V1",21,"cow",0,0,"V1",1,0
21,"pig",0,"V1",21,"pig",0,1,"V1",1,1
21,"chicken",0,"V1",21,"chicken",0,0,"V1",1,1
21,"goat",0,"V1",21,"goat",0,0,"V1",1,1
21,"sheep",0,"V1",21,"sheep",0,0,"V1",1,1
21,"human",1,"V1",21,"human",1,1,"V1",1,1
21,"monkey",0,"V1",21,"monkey",0,0,"V1",1,1
21,"gorilla",0,"V1",21,"gorilla",0,0,"V1",1,1
21,"rhino",0,"V1",21,"rhino",0,1,"V1",1,1
21,"panda",1,"V1",21,"panda",0,0,"V1",1,0
21,"bear",1,"V1",21,"bear",0,1,"V1",1,0
21,"spider",1,"V1",21,"spider",1,1,"V1",1,1
21,"ant",1,"V1",21,"ant",0,0,"V1",1,0
22,"cat",0,"V1",22,"cat",0,0,"V1",1,1
22,"snake",1,"V1",22,"snake",0,0,"V1",1,0
22,"sloth",1,"V1",22,"sloth",1,1,"V1",1,1
22,"lion",1,"V1",22,"lion",1,1,"V1",1,1
22,"frog",1,"V1",22,"frog",1,1,"V1",1,1
22,"octopus",0,"V1",22,"octopus",0,0,"V1",1,1
22,"butterfly",1,"V1",22,"butterfly",1,1,"V1",1,1
22,"gorilla",1,"V1",22,"gorilla",1,1,"V1",1,1
22,"zebra",0,"V1",22,"zebra",0,0,"V1",1,1
22,"ostrich",0,"V1",22,"ostrich",0,0,"V1",1,1
22,"whale",1,"V1",22,"whale",1,1,"V1",1,1
22,"dolphin",0,"V1",22,"dolphin",0,0,"V1",1,1
22,"fish",0,"V1",22,"fish",0,0,"V1",1,1
22,"flamingo",1,"V1",22,"flamingo",1,1,"V1",1,1
22,"polarbear",1,"V1",22,"polarbear",1,1,"V1",1,1
22,"bear",1,"V1",22,"bear",0,0,"V1",1,0
22,"hamster",1,"V1",22,"hamster",1,1,"V1",1,1
22,"chinchilla",0,"V1",22,"chinchilla",0,0,"V1",1,1
23,"lion",0,"V1",23,"lion",0,0,"V1",1,1
23,"bear",1,"V1",23,"bear",1,1,"V1",1,1
23,"ostrich",1,"V1",23,"ostrich",1,1,"V1",1,1
23,"dog",1,"V1",23,"dog",1,1,"V1",1,1
23,"cat",0,"V1",23,"cat",0,0,"V1",1,1
23,"bird",1,"V1",23,"bird",0,0,"V1",1,0
23,"fish",1,"V1",23,"fish",0,0,"V1",1,0
23,"alpaca",1,"V1",23,"alpaca",1,1,"V1",1,1
23,"llama",0,"V1",23,"llama",0,0,"V1",1,1
23,"cow",1,"V1",23,"cow",1,1,"V1",1,1
23,"pig",0,"V1",23,"pig",0,0,"V1",1,1
23,"chicken",0,"V1",23,"chicken",0,0,"V1",1,1
23,"elephant",1,"V1",23,"elephant",1,1,"V1",1,1
23,"antelope",0,"V1",23,"antelope",0,0,"V1",1,1
23,"jaguar",1,"V1",23,"jaguar",1,1,"V1",1,1
23,"shark",1,"V1",23,"shark",1,1,"V1",1,1
23,"whale",0,"V1",23,"whale",0,0,"V1",1,1
23,"dolphin",0,"V1",23,"dolphin",0,0,"V1",1,1
23,"monkey",1,"V1",23,"monkey",1,1,"V1",1,1
23,"baboon",0,"V1",23,"baboon",0,0,"V1",1,1
23,"gorilla",0,"V1",23,"gorilla",0,0,"V1",1,1
23,"snake",1,"V1",23,"snake",1,1,"V1",1,1
23,"salamander",0,"V1",23,"salamander",0,0,"V1",1,1
24,"dog",0,"V1",24,"dog",0,0,"V1",1,1
24,"bird",1,"V1",24,"bird",0,0,"V1",1,0
24,"cheetah",1,"V1",24,"cheetah",1,1,"V1",1,1
24,"lion",0,"V1",24,"lion",0,0,"V1",1,1
24,"giraffe",0,"V1",24,"giraffe",0,0,"V1",1,1
24,"zebra",0,"V1",24,"zebra",0,0,"V1",1,1
24,"hippo",1,"V1",24,"hippo",0,0,"V1",1,0
24,"panda",1,"V1",24,"panda",1,1,"V1",1,1
24,"horse",1,"V1",24,"horse",1,1,"V1",1,1
24,"pig",0,"V1",24,"pig",0,0,"V1",1,1
24,"chicken",0,"V1",24,"chicken",0,0,"V1",1,1
24,"lamb",0,"V1",24,"lamb",0,0,"V1",1,1
24,"cow",0,"V1",24,"cow",0,0,"V1",1,1
24,"bird",1,"V1",24,"bird",1,1,"V1",1,1
24,"butterfly",1,"V1",24,"butterfly",1,1,"V1",1,1
24,"scorpion",0,"V1",24,"scorpion",0,0,"V1",1,1
24,"shark",1,"V1",24,"shark",1,1,"V1",1,1
24,"whale",0,"V1",24,"whale",0,0,"V1",1,1
25,"dog",0,"V1",25,"dog",0,0,"V1",1,1
25,"lizard",1,"V1",25,"lizard",1,1,"V1",1,1
25,"turtle",0,"V1",25,"turtle",0,0,"V1",1,1
25,"mouse",1,"V1",25,"mouse",1,1,"V1",1,1
25,"deer",1,"V1",25,"deer",1,1,"V1",1,1
25,"zebra",1,"V1",25,"zebra",1,1,"V1",1,1
25,"lion",0,"V1",25,"lion",0,0,"V1",1,1
25,"tiger",0,"V1",25,"tiger",0,1,"V1",1,1
25,"panther",0,"V1",25,"panther",0,0,"V1",1,1
25,"crocodile",1,"V1",25,"crocodile",1,1,"V1",1,1
25,"frog",0,"V1",25,"frog",0,0,"V1",1,1
25,"bird",1,"V1",25,"bird",1,1,"V1",1,1
25,"crab",1,"V1",25,"crab",1,1,"V1",1,1
25,"fish",0,"V1",25,"fish",0,0,"V1",1,1
25,"octopus",0,"V1",25,"octopus",0,0,"V1",1,1
25,"dolphin",0,"V1",25,"dolphin",0,0,"V1",1,1
25,"whale",0,"V1",25,"whale",0,0,"V1",1,1
25,"fox",1,"V1",25,"fox",1,1,"V1",1,1
25,"monkey",1,"V1",25,"monkey",1,1,"V1",1,1
26,"tiger",1,"V1",26,"tiger",1,1,"V1",1,1
26,"bear",1,"V1",26,"bear",1,1,"V1",1,1
26,"dog",1,"V1",26,"dog",1,1,"V1",1,1
26,"cat",0,"V1",26,"cat",0,0,"V1",1,1
26,"shark",1,"V1",26,"shark",1,1,"V1",1,1
26,"fish",0,"V1",26,"fish",0,0,"V1",1,1
26,"hamster",1,"V1",26,"hamster",0,1,"V1",1,0
26,"redpanda",1,"V1",26,"redpanda",1,1,"V1",1,1
26,"giantpanda",0,"V1",26,"giantpanda",0,0,"V1",1,1
26,"giraffe",1,"V1",26,"giraffe",1,1,"V1",1,1
26,"elephant",0,"V1",26,"elephant",0,0,"V1",1,1
26,"lion",0,"V1",26,"lion",0,0,"V1",1,1
26,"leopard",0,"V1",26,"leopard",0,0,"V1",1,1
26,"rabbit",1,"V1",26,"rabbit",1,1,"V1",1,1
26,"horse",1,"V1",26,"horse",1,1,"V1",1,1
26,"bat",1,"V1",26,"bat",1,1,"V1",1,1
26,"anteater",0,"V1",26,"anteater",0,0,"V1",1,1
26,"deer",1,"V1",26,"deer",1,1,"V1",1,1
26,"sheep",1,"V1",26,"sheep",0,0,"V1",1,0
26,"cow",0,"V1",26,"cow",0,0,"V1",1,1
26,"pig",0,"V1",26,"pig",0,1,"V1",1,1
26,"prayingmantis",1,"V1",26,"prayingmantis",1,1,"V1",1,1
26,"butterfly",0,"V1",26,"butterfly",0,0,"V1",1,1
26,"moth",0,"V1",26,"moth",0,0,"V1",1,1
28,"deer",1,"V1",28,"deer",1,1,"V1",1,1
28,"polarbear",1,"V1",28,"polarbear",1,1,"V1",1,1
28,"brownbear",1,"V1",28,"brownbear",0,0,"V1",1,0
28,"blackbear",0,"V1",28,"blackbear",0,0,"V1",1,1
28,"jellyfish",1,"V1",28,"jellyfish",1,1,"V1",1,1
28,"giantsquid",0,"V1",28,"giantsquid",0,0,"V1",1,1
28,"bluewhale",0,"V1",28,"bluewhale",0,0,"V1",1,1
28,"makoshark",1,"V1",28,"makoshark",0,0,"V1",1,0
28,"greatwhiteshark",0,"V1",28,"greatwhiteshark",0,0,"V1",1,1
28,"barracuda",0,"V1",28,"barracuda",0,0,"V1",1,1
28,"elk",1,"V1",28,"elk",1,1,"V1",1,1
28,"moose",0,"V1",28,"moose",0,0,"V1",1,1
28,"panther",1,"V1",28,"panther",1,1,"V1",1,1
28,"lion",0,"V1",28,"lion",0,0,"V1",1,1
28,"cheetah",0,"V1",28,"cheetah",0,0,"V1",1,1
28,"gorilla",0,"V1",28,"gorilla",0,1,"V1",1,1
28,"rhino",0,"V1",28,"rhino",0,0,"V1",1,1
28,"sealion",1,"V1",28,"sealion",1,1,"V1",1,1
28,"seal",0,"V1",28,"seal",0,0,"V1",1,1
28,"viper",1,"V1",28,"viper",1,1,"V1",1,1
28,"seasnake",1,"V1",28,"seasnake",0,0,"V1",1,0
28,"penguin",0,"V1",28,"penguin",0,1,"V1",1,1
28,"prayingmantis",1,"V1",28,"prayingmantis",1,1,"V1",1,1
28,"tarantula",0,"V1",28,"tarantula",0,0,"V1",1,1
28,"blackwidow",0,"V1",28,"blackwidow",0,0,"V1",1,1
29,"lion",1,"V1",29,"lion",1,1,"V1",1,1
29,"elephant",0,"V1",29,"elephant",0,0,"V1",1,1
29,"zebra",0,"V1",29,"zebra",0,0,"V1",1,1
29,"giraffe",0,"V1",29,"giraffe",0,0,"V1",1,1
29,"bear",1,"V1",29,"bear",1,1,"V1",1,1
29,"squirrel",0,"V1",29,"squirrel",1,1,"V1",1,0
29,"frog",1,"V1",29,"frog",1,1,"V1",1,1
29,"dog",1,"V1",29,"dog",1,1,"V1",1,1
